ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
790033,790033,0,0
790253,790253,0,0
791967,791967,0,0
791967,35804162,1,1
791967,35806115,1,1
792263,792263,0,0
792388,792388,0,0
792437,792437,0,0
792445,792445,0,0
792460,792460,0,0
792466,792466,0,0
792467,792467,0,0
792468,792468,0,0
792470,792470,0,0
792472,792472,0,0
792478,792478,0,0
792482,792482,0,0
792499,35805647,1,1
792499,792499,0,0
792531,792531,0,0
792536,792536,0,0
792537,792537,0,0
792538,792538,0,0
792539,792539,0,0
792548,792548,0,0
792561,792561,0,0
792562,792562,0,0
792584,792584,0,0
792647,792647,0,0
792649,35804258,1,1
792649,792649,0,0
792649,35804280,1,1
792649,35804294,1,1
792649,35804281,1,1
792681,792681,0,0
792689,792689,0,0
792690,792690,0,0
792707,792707,0,0
792733,792733,0,0
792734,792734,0,0
792737,792737,0,0
792737,35804066,1,1
792747,792747,0,0
792748,792748,0,0
792750,792750,0,0
792751,792751,0,0
792763,792763,0,0
792764,792764,0,0
792764,35804606,1,1
792777,792777,0,0
792789,792789,0,0
792828,792828,0,0
792829,792829,0,0
792844,792844,0,0
792844,35805074,1,1
792855,792855,0,0
792856,792856,0,0
792857,792857,0,0
792858,792858,0,0
792859,792859,0,0
792861,792861,0,0
792862,792862,0,0
792899,792899,0,0
792909,792909,0,0
792927,792927,0,0
792929,792929,0,0
792957,792957,0,0
792958,792958,0,0
792959,792959,0,0
792984,792984,0,0
792993,35101653,1,1
792993,792993,0,0
793015,793015,0,0
793016,793016,0,0
793017,793017,0,0
793018,793018,0,0
793042,793042,0,0
793042,35805923,1,1
793042,35807090,1,1
793066,793066,0,0
793081,793081,0,0
793082,793082,0,0
793083,793083,0,0
793084,793084,0,0
793085,793085,0,0
793086,793086,0,0
793087,793087,0,0
793088,793088,0,0
793100,793100,0,0
793124,793124,0,0
793126,793126,0,0
793127,793127,0,0
793128,793128,0,0
793137,793137,0,0
793139,793139,0,0
793140,793140,0,0
793141,793141,0,0
793143,793143,0,0
793179,793179,0,0
793187,793187,0,0
793188,793188,0,0
793189,793189,0,0
793190,793190,0,0
793196,793196,0,0
793197,793197,0,0
793210,793210,0,0
793211,793211,0,0
793212,793212,0,0
793213,793213,0,0
793214,793214,0,0
793229,793229,0,0
793241,793241,0,0
793242,793242,0,0
793245,793245,0,0
793246,793246,0,0
793262,793262,0,0
793263,793263,0,0
793264,793264,0,0
793265,793265,0,0
793266,793266,0,0
793278,793278,0,0
793281,793281,0,0
793290,793290,0,0
793291,793291,0,0
793292,793292,0,0
793293,793293,0,0
793294,793294,0,0
793348,793348,0,0
793349,793349,0,0
793351,793351,0,0
793361,793361,0,0
793378,793378,0,0
793379,793379,0,0
793380,793380,0,0
793381,793381,0,0
793382,793382,0,0
793383,793383,0,0
793384,793384,0,0
793393,793393,0,0
793394,793394,0,0
793395,793395,0,0
793396,793396,0,0
793397,793397,0,0
793398,793398,0,0
793399,793399,0,0
793400,793400,0,0
793401,793401,0,0
793426,793426,0,0
793428,793428,0,0
793430,793430,0,0
793431,793431,0,0
793432,793432,0,0
793433,793433,0,0
793440,793440,0,0
793447,793447,0,0
793448,793448,0,0
793449,793449,0,0
793473,793473,0,0
793474,793474,0,0
793491,793491,0,0
793492,793492,0,0
793502,793502,0,0
793522,793522,0,0
793527,793527,0,0
793561,793561,0,0
793620,793620,0,0
793621,793621,0,0
793622,793622,0,0
793623,793623,0,0
793624,793624,0,0
793625,793625,0,0
793626,793626,0,0
793627,793627,0,0
793628,793628,0,0
793629,793629,0,0
793630,793630,0,0
793631,793631,0,0
793635,793635,0,0
793687,793687,0,0
793688,793688,0,0
793689,793689,0,0
793691,793691,0,0
793692,793692,0,0
793693,793693,0,0
793694,793694,0,0
793695,793695,0,0
793739,793739,0,0
793741,793741,0,0
793775,793775,0,0
793784,793784,0,0
793785,793785,0,0
793786,793786,0,0
793787,793787,0,0
793788,793788,0,0
793789,793789,0,0
793790,793790,0,0
793791,793791,0,0
793793,793793,0,0
793794,793794,0,0
793795,793795,0,0
793797,793797,0,0
793797,35803518,1,1
793843,793843,0,0
793844,793844,0,0
793846,35804316,1,1
793846,35804306,1,1
793846,793846,0,0
793846,35804200,1,1
793889,793889,0,0
793945,793945,0,0
793946,793946,0,0
793979,793979,0,0
793980,793980,0,0
793981,793981,0,0
793988,793988,0,0
793990,793990,0,0
794036,794036,0,0
794037,794037,0,0
794039,794039,0,0
794052,794052,0,0
794068,794068,0,0
794068,35805083,1,1
794068,35804050,1,1
794068,35804064,1,1
794078,794078,0,0
794079,794079,0,0
794099,794099,0,0
794104,794104,0,0
794109,794109,0,0
794111,794111,0,0
794119,794119,0,0
794120,794120,0,0
794147,794147,0,0
794229,794229,0,0
794852,794852,0,0
795113,795113,0,0
795661,795661,0,0
797399,797399,0,0
797617,797617,0,0
798834,798834,0,0
798874,35804430,1,1
798874,798874,0,0
800878,800878,0,0
801396,801396,0,0
836208,836208,0,0
836654,836654,0,0
836715,836715,0,0
836877,836877,0,0
837027,837027,0,0
900017,900017,0,0
900093,900093,0,0
901318,901318,0,0
901656,901656,0,0
901845,901845,0,0
902251,902251,0,0
902427,902427,0,0
902616,902616,0,0
902722,902722,0,0
902938,902938,0,0
902950,902950,0,0
903031,903031,0,0
903459,903459,0,0
903459,35803693,1,1
903459,35805770,1,1
903459,35803692,1,1
903643,35803562,1,1
903643,35803551,1,1
903643,35803547,1,1
903643,35803549,1,1
903643,35803564,1,1
903643,35803552,1,1
903643,35803556,1,1
903643,35803553,1,1
903643,35803554,1,1
903643,35805917,1,1
903643,903643,0,0
903643,35803550,1,1
903643,35803560,1,1
903643,35803557,1,1
903643,35803555,1,1
903643,35803563,1,1
903893,903893,0,0
903963,903963,0,0
904205,904205,0,0
904250,904250,0,0
904351,904351,0,0
904356,904356,0,0
904453,904453,0,0
904501,904501,0,0
904525,904525,0,0
904542,904542,0,0
904639,904639,0,0
904704,904704,0,0
905078,35804789,2,3
905078,905078,0,0
905151,905151,0,0
905223,905223,0,0
905223,42542372,1,1
905233,905233,0,0
905273,905273,0,0
905363,905363,0,0
905371,905371,0,0
905518,905518,0,0
905531,905531,0,0
905829,905829,0,0
906072,906072,0,0
906149,906149,0,0
906780,35102009,1,1
906780,35805119,1,1
906780,35805329,1,1
906780,35805075,1,1
906780,35804545,1,1
906780,906780,0,0
906780,35803585,1,1
906780,35807044,1,1
906780,35804241,1,1
906780,35803479,1,1
906780,35803682,1,1
906780,35805061,1,1
906780,35803676,1,1
906780,35803703,1,1
906780,35806486,1,1
906780,35804166,1,1
906780,35803686,1,1
906874,906874,0,0
906902,906902,0,0
906914,906914,0,0
907013,907013,0,0
907553,907553,0,0
907879,907879,0,0
908126,908126,0,0
908360,908360,0,0
908464,908464,0,0
908523,908523,0,0
908730,908730,0,0
908921,908921,0,0
909021,909021,0,0
909165,909165,0,0
909358,909358,0,0
909440,909440,0,0
909795,909795,0,0
909841,909841,0,0
909959,909959,0,0
910232,910232,0,0
910888,910888,0,0
911064,911064,0,0
911354,35806280,1,1
911354,911354,0,0
911486,911486,0,0
911638,911638,0,0
911735,911735,0,0
911891,911891,0,0
912263,912263,0,0
912362,912362,0,0
912476,912476,0,0
912803,912803,0,0
913440,913440,0,0
913782,913782,0,0
913813,913813,0,0
914053,914053,0,0
914085,914085,0,0
914244,914244,0,0
914310,914310,0,0
914335,35804767,1,1
914335,914335,0,0
914335,35803576,1,1
914335,35804527,1,1
914335,35804787,1,1
914335,35803693,1,1
914335,35804761,1,1
914335,35804178,1,1
914335,35803692,1,1
914335,35803676,1,1
914533,914533,0,0
914840,914840,0,0
915175,915175,0,0
915391,915391,0,0
915392,915392,0,0
915518,915518,0,0
915542,915542,0,0
915553,915553,0,0
915829,915829,0,0
915841,915841,0,0
915855,915855,0,0
915935,915935,0,0
915981,915981,0,0
916005,916005,0,0
916059,916059,0,0
916230,916230,0,0
916282,916282,0,0
916460,916460,0,0
916662,916662,0,0
916751,916751,0,0
916802,916802,0,0
916943,916943,0,0
917006,917006,0,0
917205,917205,0,0
917336,917336,0,0
917446,917446,0,0
918172,918172,0,0
918222,918222,0,0
918881,918881,0,0
918906,918906,0,0
919204,919204,0,0
919681,919681,0,0
919839,919839,0,0
919986,919986,0,0
920064,920064,0,0
920113,920113,0,0
920293,920293,0,0
920378,920378,0,0
920458,920458,0,0
921956,921956,0,0
922024,922024,0,0
922191,922191,0,0
922570,922570,0,0
922570,35803616,1,1
922570,35804418,1,1
922868,922868,0,0
922976,922976,0,0
923081,923081,0,0
923540,923540,0,0
923645,35805755,1,1
923645,35806136,1,1
923645,35806302,1,1
923645,35805035,1,1
923645,35804378,1,1
923645,923645,0,0
923645,35806055,1,1
923645,35806053,1,1
923645,35803700,1,1
923672,923672,0,0
923829,923829,0,0
923840,923840,0,0
924120,924120,0,0
924151,924151,0,0
924296,924296,0,0
924309,924309,0,0
924566,924566,0,0
924724,924724,0,0
924939,924939,0,0
925102,925102,0,0
925209,925209,0,0
925636,925636,0,0
925952,925952,0,0
926487,926487,0,0
926770,926770,0,0
927194,927194,0,0
927322,927322,0,0
927478,927478,0,0
928006,928006,0,0
928110,928110,0,0
928744,928744,0,0
928980,928980,0,0
929128,929128,0,0
929435,929435,0,0
929504,929504,0,0
929542,929542,0,0
929549,929549,0,0
929638,929638,0,0
929698,929698,0,0
929887,929887,0,0
929887,35806268,1,1
929887,35806284,1,1
929887,35806053,1,1
929983,929983,0,0
930021,930021,0,0
930604,930604,0,0
930747,930747,0,0
930916,930916,0,0
931035,931035,0,0
931973,931973,0,0
932196,932196,0,0
932745,932745,0,0
932815,932815,0,0
933724,933724,0,0
933794,933794,0,0
933952,933952,0,0
934075,934075,0,0
934262,934262,0,0
934431,934431,0,0
935382,935382,0,0
935390,935390,0,0
935529,935529,0,0
936429,936429,0,0
936748,936748,0,0
936748,35804148,1,1
937368,937368,0,0
937439,937439,0,0
937712,937712,0,0
937725,937725,0,0
937791,937791,0,0
938044,938044,0,0
938061,938061,0,0
938205,938205,0,0
938268,35804378,1,1
938268,35805755,1,1
938268,938268,0,0
938268,35803700,1,1
938362,938362,0,0
939134,939134,0,0
939259,939259,0,0
939506,939506,0,0
939726,939726,0,0
939784,939784,0,0
939863,939863,0,0
939871,939871,0,0
939881,939881,0,0
939976,939976,0,0
939979,939979,0,0
940004,940004,0,0
940183,940183,0,0
940426,940426,0,0
940535,940535,0,0
940541,940541,0,0
940864,940864,0,0
941004,941004,0,0
941052,941052,0,0
941258,35803700,1,1
941258,35804378,1,1
941258,35805755,1,1
941258,941258,0,0
941472,941472,0,0
941577,941577,0,0
942028,942028,0,0
942350,942350,0,0
942494,942494,0,0
942659,942659,0,0
942691,942691,0,0
942765,942765,0,0
942799,942799,0,0
943030,943030,0,0
943116,943116,0,0
943191,943191,0,0
943634,943634,0,0
943852,943852,0,0
944360,944360,0,0
945286,945286,0,0
945913,945913,0,0
946340,946340,0,0
947416,947416,0,0
947651,947651,0,0
947705,947705,0,0
948078,948078,0,0
948487,948487,0,0
948490,948490,0,0
948515,948515,0,0
948555,948555,0,0
948582,948582,0,0
948760,948760,0,0
948787,948787,0,0
948856,948856,0,0
949279,949279,0,0
949453,949453,0,0
949459,949459,0,0
949759,949759,0,0
950056,950056,0,0
950098,950098,0,0
950183,950183,0,0
950316,950316,0,0
950370,950370,0,0
950435,950435,0,0
950637,42542365,1,1
950637,35803616,1,1
950637,35805067,1,1
950637,35803627,1,1
950637,35805841,1,1
950637,35805652,1,1
950637,950637,0,0
950637,35803630,1,1
950637,35803495,1,1
950637,35803628,1,1
950637,35805644,1,1
950637,35803615,1,1
950637,35805730,1,1
950637,35803621,1,1
950637,42542367,1,1
950637,35803705,1,1
950637,35803493,1,1
950637,35805729,1,1
950637,35803612,1,1
950637,35803485,1,1
950637,35803632,1,1
950637,35805735,1,1
950637,35803623,1,1
950696,950696,0,0
950792,950792,0,0
950882,950882,0,0
950933,950933,0,0
951112,951112,0,0
951237,951237,0,0
951279,951279,0,0
951469,951469,0,0
951511,951511,0,0
951980,951980,0,0
952004,952004,0,0
952045,952045,0,0
952538,952538,0,0
953076,35806625,1,1
953076,35805468,1,1
953076,35804166,1,1
953076,953076,0,0
953076,35101978,1,1
953076,35806131,1,1
953076,35807167,1,1
953391,953391,0,0
954036,954036,0,0
954688,954688,0,0
954696,954696,0,0
954819,954819,0,0
954853,954853,0,0
955252,955252,0,0
955372,955372,0,0
955583,955583,0,0
955632,35804330,1,1
955632,35804802,1,1
955632,35807526,1,1
955632,35805796,1,1
955632,35805773,1,1
955632,42542286,1,1
955632,35803676,1,1
955632,35804775,1,1
955632,35805767,1,1
955632,35804776,1,1
955632,35804532,1,1
955632,35804564,1,1
955632,35804299,1,1
955632,35806595,1,1
955632,35804808,1,1
955632,35804778,1,1
955632,35805354,1,1
955632,35804777,1,1
955632,35101643,1,1
955632,35804325,1,1
955632,35805774,1,1
955632,35804237,1,1
955632,42542362,1,1
955632,35804786,1,1
955632,35804793,1,1
955632,35805365,1,1
955632,35805688,1,1
955632,35805776,1,1
955632,35804772,1,1
955632,35804224,1,1
955632,35806596,1,1
955632,35804761,1,1
955632,35806591,1,1
955632,35804342,1,1
955632,35804545,1,1
955632,35804796,1,1
955632,35804805,1,1
955632,35805338,1,1
955632,35804212,1,1
955632,35806380,1,1
955632,35804758,1,1
955632,35804790,1,1
955632,35806583,1,1
955632,35805342,1,1
955632,35804252,1,1
955632,35804347,1,1
955632,42542399,1,1
955632,35101644,1,1
955632,35804794,1,1
955632,35102009,1,1
955632,35805349,1,1
955632,35804231,1,1
955632,35804331,1,1
955632,35804770,1,1
955632,42542300,1,1
955632,35804339,1,1
955632,35805687,1,1
955632,42542426,1,1
955632,42542347,1,1
955632,35805689,1,1
955632,35805359,1,1
955632,35804774,1,1
955632,42542294,1,1
955632,35804562,1,1
955632,35804779,1,1
955632,35804797,1,1
955632,42542273,1,1
955632,35805682,1,1
955632,35805364,1,1
955632,35804335,1,1
955632,35804355,1,1
955632,35804345,1,1
955632,35102008,1,1
955632,955632,0,0
955632,35805099,1,1
955632,35804328,1,1
955632,35804563,1,1
955632,35804349,1,1
955632,35806584,1,1
955632,35804769,1,1
955632,35804771,1,1
955632,35804783,1,1
955632,35806894,1,1
955632,35804764,1,1
955632,42542345,1,1
955632,35805340,1,1
955632,35802849,1,1
955632,35804253,1,1
955632,35806895,1,1
955632,35805768,1,1
955632,35805352,1,1
955632,35805356,1,1
955632,35806585,1,1
955632,35805331,1,1
955632,35804334,1,1
955632,35804806,1,1
